date,time,size,version,os,country,ip_id
"2024-03-01","08:00:43",85946640,"devel","win","HK",65
"2024-03-01","08:00:41",98228433,"4.3.2","osx",NA,4
"2024-03-01","08:00:48",82732863,"4.3.3","win","JP",66
"2024-03-01","08:00:35",82729066,"4.3.3","win","TW",67
"2024-03-01","08:00:04",98227848,"4.3.2","osx","US",68
"2024-03-01","08:00:40",82729030,"4.3.3","win",NA,4
"2024-03-01","08:01:02",82638369,"4.3.3","win","US",69
"2024-03-01","15:00:02",82731398,"4.3.3","win","CL",70
"2024-03-01","15:00:20",82594005,"4.3.2","win","US",71
"2024-03-01","15:00:19",98228005,"4.3.2","osx","FR",72
"2024-03-01","15:00:14",95838249,"4.3.2","osx","US",73
"2024-03-01","15:00:12",82730803,"4.3.3","win","CN",74
"2024-03-01","15:00:18",82731061,"4.3.3","win","HU",75
"2024-03-01","15:00:17",82594005,"4.3.2","win","US",71
"2024-03-01","15:00:26",82735264,"4.3.3","win","JP",76
"2024-03-01","15:00:25",82594005,"4.3.2","win","US",71
"2024-03-01","15:00:30",82730730,"4.3.3","win",NA,4
"2024-03-01","15:00:31",82594005,"4.3.2","win","US",77
"2024-03-01","15:00:30",82730119,"4.3.3","win","GB",78
"2024-03-01","15:00:33",82731821,"4.3.3","win","RO",79
"2024-03-01","15:00:42",82638370,"4.3.3","win","US",80
"2024-03-01","15:00:29",84210654,"4.3.3","osx","US",81
"2024-03-01","20:00:02",95839168,"4.3.2","osx","US",82
"2024-03-01","20:00:00",90436964,"4.1.0","osx","US",83
"2024-03-01","20:00:04",82730712,"4.3.3","win","ZA",84
"2024-03-01","20:00:08",82638374,"4.3.3","win","US",71
"2024-03-01","20:00:20",84210655,"4.3.3","osx","US",85
"2024-03-01","20:00:18",82638373,"4.3.3","win","US",86
"2024-03-01","20:00:21",82729874,"4.3.3","win",NA,4
"2024-03-01","20:00:42",92946728,"4.2.3","osx","US",87
"2024-03-01","20:00:33",95839364,"4.3.2","osx","US",88
"2024-03-01","20:00:33",95840615,"4.3.2","osx","CA",89
"2024-03-01","20:00:52",84210655,"4.3.3","osx","US",87
"2024-03-01","20:00:56",82730729,"4.3.3","win","CO",90
"2024-03-01","20:00:57",84210655,"4.3.3","osx","US",91
"2024-03-01","20:00:04",82731190,"4.3.3","win","CR",92
"2024-03-01","20:01:00",84210655,"4.3.3","osx","US",42
"2024-03-01","01:45:11",391,"4.3.2","osx","US",93
"2024-03-01","01:46:01",82687820,"4.3.2","win",NA,4
"2024-03-01","01:45:15",98227556,"4.3.2","osx","US",93
"2024-03-01","01:45:11",928485,"4.3.2","osx","US",93
"2024-03-01","01:46:07",98117413,"4.3.2","osx","US",94
"2024-03-01","01:46:17",721136,"4.3.2","win","US",95
"2024-03-01","01:46:30",82687759,"4.3.2","win","US",96
"2024-03-01","01:46:38",82687786,"4.3.2","win","US",97
"2024-03-01","01:46:36",82594002,"4.3.2","win",NA,4
"2024-03-01","01:46:16",34025867,"4.2.2","src","GB",98
"2024-03-01","01:46:17",82594006,"4.3.2","win","US",99
"2024-03-01","01:46:44",95839266,"4.3.2","osx","AU",100
"2024-03-01","01:46:15",98117415,"4.3.2","osx","US",101
"2024-03-01","01:45:53",95839011,"4.3.2","osx","US",102
"2024-03-01","01:46:14",104721,"4.2.2","src","GB",98
"2024-03-01","01:47:11",82687908,"4.3.2","win","AU",103
"2024-03-01","01:47:12",98117416,"4.3.2","osx","US",104
"2024-03-01","01:46:40",98117415,"4.3.2","osx","US",105
"2024-03-01","01:47:36",79837057,"4.2.3","win","US",106
"2024-03-01","01:47:44",16767846,"4.3.2","win","MA",107
"2024-03-01","01:47:46",79837058,"4.2.3","win","US",108
"2024-03-01","01:47:54",82594006,"4.3.2","win","US",109
"2024-03-01","01:47:46",82594002,"4.3.2","win","HK",110
"2024-03-01","01:47:54",98117416,"4.3.2","osx","US",111
"2024-03-01","01:48:03",82684733,"4.3.2","win","MY",112
"2024-03-01","01:48:09",82686668,"4.3.2","win","US",113
"2024-03-01","01:48:10",82685598,"4.3.2","win","IN",114
